STD_YM,ori_id,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202410,마라349864,1,0,112.1,292.87,274.21,246.05,123.46,140.95,152.99,186.85,192.01,312.84,366.74,646.0,686.93,736.11,1028.04,1329.26,1924.22,2373.65,2926.09,2457.74,2142.3,2050.26,1491.63,438.89
202410,마라349865,1,0,0.0,0.0,0.0,2.77,0.0,0.0,2.77,0.0,0.0,0.0,3.75,11.65,11.65,3.75,2.77,11.04,17.39,43.4,26.92,40.49,73.1,69.37,15.25,15.95
202410,마라349867,1,0,157.08,483.95,368.11,315.11,282.05,404.42,426.68,440.3,381.95,447.54,666.18,770.61,1181.02,1165.54,1226.19,1601.94,1991.97,3063.57,3847.75,3226.94,2717.74,2512.07,2084.42,525.68
202410,마라350849,1,0,0.0,0.0,0.0,0.0,0.0,33.39,0.0,0.0,0.0,0.0,9.24,6.16,3.08,0.0,6.16,3.08,3.08,3.06,3.08,0.0,0.0,0.0,0.0,0.0
202410,마라350852,1,0,37.17,35.82,44.59,95.22,13.96,111.99,20.64,80.42,42.27,20.02,49.12,53.5,52.68,53.31,42.86,85.48,106.82,80.5,37.79,52.35,111.29,67.93,52.45,23.76
202410,마라350858,1,0,7.94,0.0,0.0,0.0,0.0,0.0,27.31,0.0,0.0,0.0,3.97,3.97,15.56,0.0,11.59,10.44,33.78,23.38,14.57,16.91,37.75,11.75,0.0,0.0
202410,마라350861,1,0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,6.66,3.33,26.64,0.0,3.33,3.33,0.0,0.0
202410,마라350863,1,0,21.46,65.65,27.32,39.96,47.0,24.38,38.14,20.85,29.51,51.68,54.19,94.66,92.56,101.08,94.94,174.85,225.71,313.38,356.88,375.96,261.79,385.83,442.42,134.61
202410,마라350864,1,0,20.16,60.25,74.46,29.89,37.21,25.01,15.01,25.2,69.23,80.21,35.92,102.13,100.38,119.09,188.79,199.95,283.95,436.4,501.93,446.96,521.38,401.53,302.16,82.21
202410,마라350865,1,0,0.0,3.93,0.0,3.33,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,13.32,10.99,0.0,20.78,24.11,16.65,31.17,23.31,23.71,13.32,27.04,10.79
202410,마라350866,1,0,63.4,176.2,176.85,144.15,103.58,112.0,102.88,128.26,83.9,116.73,97.56,166.1,191.99,239.12,248.21,353.47,434.09,827.9,977.79,856.3,720.39,788.08,717.23,166.89
202410,마라351854,1,0,25.24,218.19,92.9,88.39,89.76,101.12,66.02,67.28,69.84,71.07,99.46,189.36,274.57,170.03,211.12,408.72,455.64,619.87,600.11,545.74,425.96,376.93,316.89,85.91
202410,마라351855,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.0,3.58,3.58
202410,마라351856,1,0,18.42,61.5,68.23,67.07,49.07,62.04,36.95,134.78,107.86,101.26,96.92,185.84,166.71,170.56,169.89,321.64,421.96,584.3,514.18,587.39,450.25,456.92,360.51,78.58
202410,마라351862,1,0,27.1,77.98,75.95,58.78,30.84,48.12,75.13,45.1,67.82,39.6,85.53,92.68,99.25,95.35,160.25,181.79,241.81,334.29,478.62,353.3,325.01,343.74,325.0,137.63
